id,formula,material_system,is_metallic,dimensionality,db_temperature_c,corrected_temp_min_c,corrected_temp_max_c,temp_correction_note,score_sustainability,score_structural,score_sensory,score_novelty,score_recipe_confidence,score_composite,architectural_categories
La8Pb6Pr2Se2,La8Pb6Pr2Se2,metallic-other,True,3D,900,800,1300,,4.83,6.0,5.0,4.5,8.0,5.68,luminescent
Co5Y4,Co5Y4,iron-alloy,True,3D,800,1200,1500,too low: 800C → suggest 1200-1500C,4.42,9.0,3.0,4.0,8.0,5.7,metallic/tension
Cu1In8Ni1Sr2,Cu1In8Ni1Sr2,copper-alloy,True,intercalated ion,800,950,1100,,4.83,9.0,3.0,5.5,8.0,6.03,metallic/tension
B4Co7Ga2Nd1Ni2Tm2,B4Co7Ga2Nd1Ni2Tm2,iron-alloy,True,,1200,1200,1500,,4.29,6.0,5.0,6.0,8.0,5.77,phase-change
Ca2Ga1Si2Zn5,Ca2Ga1Si2Zn5,metallic-other,True,intercalated ion,1200,800,1300,,5.9,9.0,3.0,5.5,8.0,6.3,metallic/tension; phase-change
Cu1Er11Fe4Sn1Tm1,Cu1Er11Fe4Sn1Tm1,copper-alloy,True,3D,1000,950,1100,,4.5,6.0,5.0,6.0,8.0,5.82,luminescent
Co4Er19Sb8Tb1,Co4Er19Sb8Tb1,iron-alloy,True,,1200,1200,1500,,3.16,6.0,5.0,4.0,8.0,5.19,luminescent
Cu12Ge2Mo2Te16,Cu12Ge2Mo2Te16,copper-alloy,True,,800,950,1100,,3.07,6.0,3.0,5.0,8.0,4.92,[]
Al1Ba6Ga1K6Sb8,Al1Ba6Ga1K6Sb8,aluminum-alloy,True,intercalated ion,800,660,900,,6.55,6.0,3.0,8.5,8.0,6.31,electronic/functional; phase-change
Be4Pr3Si12Sm5,Be4Pr3Si12Sm5,metallic-other,True,intercalated ion,800,800,1300,,4.62,9.0,5.0,6.5,8.0,6.53,metallic/tension; luminescent
Ba40Sb26,Ba40Sb26,metallic-other,True,intercalated ion,800,800,1300,,5.45,6.0,3.0,6.0,8.0,5.66,[]
La1O14W2Y5,La1O14W2Y5,general-oxide,False,3D,1200,800,1200,,6.12,6.0,3.0,3.0,8.0,5.38,translucent-potential; electronic/functional
Mo1Nb8Si16Ti11,Mo1Nb8Si16Ti11,metallic-other,True,3D,1200,800,1300,,5.9,9.0,3.0,3.0,8.0,5.92,metallic/tension
As4Ce2Nb2Ni4,As4Ce2Nb2Ni4,iron-alloy,True,3D,1200,1200,1500,,3.0,9.0,3.0,4.5,8.0,5.42,metallic/tension
Al8Ce1Ru8Tb5Y2,Al8Ce1Ru8Tb5Y2,aluminum-alloy,True,3D,1200,660,900,too high: 1200C → suggest 660-900C,4.59,9.0,5.0,6.0,8.0,6.45,metallic/tension; luminescent
Co4Ga6Zn2,Co4Ga6Zn2,iron-alloy,True,3D,800,1200,1500,too low: 800C → suggest 1200-1500C,4.0,9.0,3.0,3.5,8.0,5.53,metallic/tension; phase-change
Al3Eu1Ga1,Al3Eu1Ga1,aluminum-alloy,True,3D,660,660,900,,6.35,9.0,5.0,4.0,8.0,6.59,metallic/tension; luminescent; phase-change
Er1Ga16Sc12Y7,Er1Ga16Sc12Y7,metallic-other,True,3D,1000,800,1300,,4.12,9.0,5.0,4.5,8.0,6.11,metallic/tension; luminescent; phase-change
Co16P12Sc7Ti1,Co16P12Sc7Ti1,iron-alloy,True,3D,1200,1200,1500,,4.56,9.0,3.0,3.5,8.0,5.67,metallic/tension
B6Be2Co12Er3Y1,B6Be2Co12Er3Y1,iron-alloy,True,intercalated ion,950,1200,1500,too low: 950C → suggest 1200-1500C,4.06,9.0,5.0,9.0,8.0,6.77,metallic/tension; luminescent
Ga20Sc2Tb8Tm2,Ga20Sc2Tb8Tm2,metallic-other,True,3D,800,800,1300,,3.97,6.0,5.0,5.0,8.0,5.54,luminescent; phase-change
C4Co4Mo1Ni4W15,C4Co4Mo1Ni4W15,iron-alloy,True,3D,1200,1200,1500,,4.43,9.0,3.0,5.0,8.0,5.86,metallic/tension
Cu6Er3Sm1Zn28,Cu6Er3Sm1Zn28,copper-alloy,True,3D,1200,950,1100,,5.6,6.0,5.0,5.0,8.0,5.95,luminescent
Li4P1Sc8Si15Tm8,Li4P1Sc8Si15Tm8,metallic-other,True,intercalated ion,800,800,1300,,5.08,9.0,3.0,8.0,8.0,6.47,metallic/tension
Cu5Ni1Pa6Sn8,Cu5Ni1Pa6Sn8,copper-alloy,True,3D,1200,950,1100,,4.93,6.0,3.0,3.5,8.0,5.16,[]
Ba1Cr1Fe1Mn2Sb12,Ba1Cr1Fe1Mn2Sb12,iron-alloy,True,intercalated ion,1000,1200,1500,,4.26,9.0,3.0,7.0,8.0,6.12,metallic/tension
As16Ba8Ca4Na8,As16Ba8Ca4Na8,metallic-other,True,intercalated ion,800,800,1300,,4.0,6.0,3.0,5.5,8.0,5.22,electronic/functional
Bi10Ce6Tm1Y1,Bi10Ce6Tm1Y1,metallic-other,True,3D,1200,800,1300,,4.92,9.0,3.0,4.5,8.0,5.9,metallic/tension
Al3Fe1Mo1V11,Al3Fe1Mo1V11,iron-alloy,True,3D,1500,1200,1500,,4.38,9.0,3.0,3.0,8.0,5.54,metallic/tension
Er1Ni1Ru3Sn6,Er1Ni1Ru3Sn6,iron-alloy,True,3D,1200,1200,1500,,3.11,9.0,5.0,4.0,8.0,5.78,metallic/tension; luminescent
Nb4Se6Si2Te2,Nb4Se6Si2Te2,metallic-other,True,2D,800,800,1300,,4.57,6.0,3.0,5.5,8.0,5.37,[]
C7Ce5W2,C7Ce5W2,metallic-other,True,3D,120,800,1300,too low: 120C → suggest 800-1300C,5.75,9.0,3.0,3.0,8.0,5.89,metallic/tension
Bi11Er11Tm9Zn1,Bi11Er11Tm9Zn1,metallic-other,True,3D,900,800,1300,,4.09,9.0,5.0,4.0,8.0,6.02,metallic/tension; luminescent
Ga5S1Sb1Zr10,Ga5S1Sb1Zr10,sulfide,False,3D,800,150,800,,7.23,9.0,3.0,3.5,8.0,6.33,metallic/tension; sulfide/lightweight; phase-change
Cu18K1Nd1Si8,Cu18K1Nd1Si8,copper-alloy,True,intercalated ion,1100,950,1100,,6.05,9.0,5.0,5.0,8.0,6.66,metallic/tension
In4Nd1Pr9Sn2,In4Nd1Pr9Sn2,metallic-other,True,3D,900,800,1300,,4.06,9.0,5.0,4.0,8.0,6.02,metallic/tension; luminescent
B24Ru2Tm5W2Y3,B24Ru2Tm5W2Y3,metallic-other,True,3D,1200,800,1300,,5.04,6.0,3.0,6.0,8.0,5.56,[]
B6Co12Mn2Tb4,B6Co12Mn2Tb4,iron-alloy,True,3D,1200,1200,1500,,4.38,9.0,5.0,4.5,8.0,6.17,metallic/tension; luminescent
Li3Pb1Si2Tb2Tm1,Li3Pb1Si2Tb2Tm1,metallic-other,True,intercalated ion,800,800,1300,,5.08,6.0,5.0,8.0,8.0,6.27,luminescent
Er1Ga3Sb3Sc9,Er1Ga3Sb3Sc9,metallic-other,True,3D,1000,800,1300,,3.92,6.0,5.0,4.5,8.0,5.46,luminescent; phase-change
