id,formula,elements,family,family_reason,metal_sub_family,metal_supplier,alloy_validation,batch_size_g,max_workshop_g,scale_limit_reason,ingredients,firing_schedule,estimated_cost_eur,confidence,confidence_reason,warnings,safety_flags,db_temp_c,crystal_system,space_group,bandgap_ev
Nd8Ru4Tm1Y1,Nd8Ru4Tm1Y1,"{""Nd"": 8, ""Ru"": 4, ""Tm"": 1, ""Y"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Nd"", ""precursor"": ""Nd"", ""name"": ""neodymium metal"", ""mass_g"": 127.4, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Tm"", ""precursor"": ""Tm"", ""name"": ""thulium metal"", ""mass_g"": 18.6, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 9.8, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",7.79,MEDIUM,"4 elements, 2 rare; template applicable",no precursor data for element Ru,Nd: MODERATE — expensive; Tm: DANGEROUS — expensive; Y: MODERATE — ,1200,monoclinic,C2,0.0012
Cs4Mg2Se8Ti2,Cs4Mg2Se8Ti2,"{""Cs"": 4, ""Mg"": 2, ""Se"": 8, ""Ti"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Mg"", ""precursor"": ""Mg"", ""name"": ""magnesium powder"", ""mass_g"": 7.4, ""safety"": ""MODERATE"", ""supplier"": ""flammable dust""}, {""element"": ""Ti"", ""precursor"": ""Ti"", ""name"": ""titanium powder"", ""mass_g"": 14.6, ""safety"": ""MODERATE"", ""supplier"": ""dust flammable""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",0.66,EXCLUDED,Cs: EXCLUDED — no safe form; no precursor data for element Se,Cs: EXCLUDED — no safe form; no precursor data for element Se; contains EXCLUDED element; recipe not fully realizable,Mg: MODERATE — flammable dust; Ti: MODERATE — dust flammable,900,orthorhombic,Fddd,1.7973
Cs4Ge4La1Nd3Se16,Cs4Ge4La1Nd3Se16,"{""Cs"": 4, ""Ge"": 4, ""La"": 1, ""Nd"": 3, ""Se"": 16}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Ge"", ""precursor"": ""Ge"", ""name"": ""germanium metal"", ""mass_g"": 21.9, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}, {""element"": ""La"", ""precursor"": ""La"", ""name"": ""lanthanum metal"", ""mass_g"": 10.5, ""safety"": ""MODERATE"", ""supplier"": """"}, {""element"": ""Nd"", ""precursor"": ""Nd"", ""name"": ""neodymium metal"", ""mass_g"": 32.6, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",3.25,EXCLUDED,Cs: EXCLUDED — no safe form; no precursor data for element Se,Cs: EXCLUDED — no safe form; no precursor data for element Se; contains EXCLUDED element; recipe not fully realizable,Ge: DANGEROUS — expensive; La: MODERATE — ; Nd: MODERATE — expensive,900,triclinic,P1,1.6679
La3Li4Pr1Si8,La3Li4Pr1Si8,"{""La"": 3, ""Li"": 4, ""Pr"": 1, ""Si"": 8}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""La"", ""precursor"": ""La"", ""name"": ""lanthanum metal"", ""mass_g"": 102.9, ""safety"": ""MODERATE"", ""supplier"": """"}, {""element"": ""Li"", ""precursor"": ""Li2CO3"", ""name"": ""lithium carbonate (NEVER elemental Li)"", ""mass_g"": 36.5, ""safety"": ""SAFE"", ""supplier"": ""laborladen; NEVER use Li metal""}, {""element"": ""Pr"", ""precursor"": ""Pr"", ""name"": ""praseodymium metal"", ""mass_g"": 34.8, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Si"", ""precursor"": ""Si"", ""name"": ""silicon granules"", ""mass_g"": 55.5, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",11.28,MEDIUM,"4 elements, 1 rare; template applicable",[],La: MODERATE — ; Pr: MODERATE — expensive,1200,monoclinic,Pm,0.017
Bi4Co4Nd20Sn4,Bi4Co4Nd20Sn4,"{""Bi"": 4, ""Co"": 4, ""Nd"": 20, ""Sn"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Bi"", ""precursor"": ""Bi"", ""name"": ""bismuth metal"", ""mass_g"": 37.7, ""safety"": ""SAFE"", ""supplier"": ""low-temp alloy use""}, {""element"": ""Co"", ""precursor"": ""Co"", ""name"": ""cobalt powder"", ""mass_g"": 10.6, ""safety"": ""MODERATE"", ""supplier"": ""IARC 2B, N95""}, {""element"": ""Nd"", ""precursor"": ""Nd"", ""name"": ""neodymium metal"", ""mass_g"": 130.2, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Sn"", ""precursor"": ""Sn"", ""name"": ""tin ingot"", ""mass_g"": 21.4, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.81,MEDIUM,"4 elements, 1 rare; template applicable",[],"Co: MODERATE — IARC 2B, N95; Nd: MODERATE — expensive",800,triclinic,P1,0.0013
Al6Mo3Ru12Ti3,Al6Mo3Ru12Ti3,"{""Al"": 6, ""Mo"": 3, ""Ru"": 12, ""Ti"": 3}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Al"", ""precursor"": ""Al"", ""name"": ""aluminum powder"", ""mass_g"": 18.1, ""safety"": ""MODERATE"", ""supplier"": ""dust explosion hazard, no open flame""}, {""element"": ""Mo"", ""precursor"": ""Mo"", ""name"": ""molybdenum powder"", ""mass_g"": 32.1, ""safety"": ""SAFE"", ""supplier"": """"}, {""element"": ""Ti"", ""precursor"": ""Ti"", ""name"": ""titanium powder"", ""mass_g"": 16.0, ""safety"": ""MODERATE"", ""supplier"": ""dust flammable""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",2.39,MEDIUM,standard template applied,no precursor data for element Ru,"Al: MODERATE — dust explosion hazard, no open flame; Ti: MODERATE — dust flammable",800,orthorhombic,Pmmm,0.0025
Nd5Pr1Sn6Tm4,Nd5Pr1Sn6Tm4,"{""Nd"": 5, ""Pr"": 1, ""Sn"": 6, ""Tm"": 4}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Nd"", ""precursor"": ""Nd"", ""name"": ""neodymium metal"", ""mass_g"": 64.1, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Pr"", ""precursor"": ""Pr"", ""name"": ""praseodymium metal"", ""mass_g"": 12.5, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Sn"", ""precursor"": ""Sn"", ""name"": ""tin ingot"", ""mass_g"": 63.3, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Tm"", ""precursor"": ""Tm"", ""name"": ""thulium metal"", ""mass_g"": 60.1, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.73,LOW,"3 rare elements, speculative composition",[],Nd: MODERATE — expensive; Pr: MODERATE — expensive; Tm: DANGEROUS — expensive,1200,orthorhombic,Amm2,0.0219
Cu14Ga12Sr2,Cu14Ga12Sr2,"{""Cu"": 14, ""Ga"": 12, ""Sr"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Cu"", ""precursor"": ""Cu"", ""name"": ""copper shot/powder"", ""mass_g"": 93.6, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Ga"", ""precursor"": ""Ga"", ""name"": ""gallium metal"", ""mass_g"": 88.0, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE, China controlled""}, {""element"": ""Sr"", ""precursor"": ""SrCO3"", ""name"": ""strontium carbonate (NEVER Sr metal)"", ""mass_g"": 31.1, ""safety"": ""SAFE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",7.71,MEDIUM,"3 elements, 1 rare; template applicable",[],"Ga: DANGEROUS — EXPENSIVE, China controlled",800,orthorhombic,Ibam,
Bi4La1O14Y3,Bi4La1O14Y3,"{""Bi"": 4, ""La"": 1, ""O"": 14, ""Y"": 3}",heavy_oxide_ceramic,heavy-element oxide ceramic,,,,200,500,WO3 volatility; dense ceramic heavy at scale,"[{""element"": ""Bi"", ""precursor"": ""Bi2O3"", ""name"": ""bismuth(III) oxide (yellow)"", ""mass_g"": 127.2, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich; heavy metal dust, N95 required""}, {""element"": ""La"", ""precursor"": ""La2O3"", ""name"": ""lanthanum oxide"", ""mass_g"": 22.2, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""Y"", ""precursor"": ""Y2O3"", ""name"": ""yttrium oxide"", ""mass_g"": 46.2, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich ~€10-30/kg""}]","{""calcine_c"": 900, ""calcine_h"": 4, ""sinter_c"": 1250, ""sinter_range_c"": [1100, 1400], ""sinter_h"": 4, ""ramp_to_sinter"": ""3°C/min"", ""cool_rate"": ""3°C/min"", ""moo3_saggar_note"": ""MoO3 sublimes from ~650°C (vapor pressure significant); near-complete loss by 800°C. Closed alumina saggar with fiber gasket MANDATORY above 600°C."", ""wo3_saggar_note"": ""WO3 measurable vapor at 900°C; significant mass loss above 1000°C. Saggar recommended."", ""bi2o3_flux_opportunity"": ""Bi2O3 melts at 825°C and acts as powerful liquid-phase sintering aid. 1-5 wt% Bi2O3 lowers ZrO2 sintering from 1400-1500°C to ~900°C — enables heavy oxide ceramics in standard ABK kiln."", ""zro2_transformation_hazard"": ""ZrO2 monoclinic↔tetragonal transformation at ~1170°C causes 3.5% volume change. Pure ZrO2 cracks on cooling — must be stabilized (3 mol% Y2O3) OR use Bi2O3 liquid-phase sintering route below 1170°C."", ""why"": ""heavy-element oxides need longer holds; volatility-critical species (Mo, W, Bi) require saggar above 650°C""}",8.86,MEDIUM,standard template applied,[],"Bi2O3: MODERATE — Sigma-Aldrich; heavy metal dust, N95 required; La2O3: MODERATE — Sigma-Aldrich; Y2O3: MODERATE — Sigma-Aldrich ~€10-30/kg",800,triclinic,P1,
In3Se25,In3Se25,"{""In"": 3, ""Se"": 25}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""In"", ""precursor"": ""In"", ""name"": ""indium metal"", ""mass_g"": 29.7, ""safety"": ""DANGEROUS"", ""supplier"": ""expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",1.49,MEDIUM,"2 elements, 1 rare; template applicable",no precursor data for element Se,In: DANGEROUS — expensive,450,monoclinic,Pm,0.002
Ba2Fe4Mn8O24,Ba2Fe4Mn8O24,"{""Ba"": 2, ""Fe"": 4, ""Mn"": 8, ""O"": 24}",unknown,no matching family,,,,200,500,conservative default for unknown family,"[{""element"": ""Ba"", ""precursor"": ""BaCO3"", ""name"": ""barium carbonate"", ""mass_g"": 59.7, ""safety"": ""DANGEROUS"", ""supplier"": ""laborladen €4.90/500g; TOXIC, N95 required""}, {""element"": ""Fe"", ""precursor"": ""Fe2O3"", ""name"": ""iron(III) oxide (red)"", ""mass_g"": 48.3, ""safety"": ""SAFE"", ""supplier"": ""Kremer #48100, laborladen""}, {""element"": ""Mn"", ""precursor"": ""MnO2"", ""name"": ""manganese dioxide"", ""mass_g"": 105.3, ""safety"": ""MODERATE"", ""supplier"": ""ceramic supply; neurotoxic dust, N95 required""}]","{""peak_c"": null, ""why"": ""no template""}",3.09,LOW,no family matched,[],"BaCO3: DANGEROUS — laborladen €4.90/500g; TOXIC, N95 required; MnO2: MODERATE — ceramic supply; neurotoxic dust, N95 required",900,triclinic,P1,0.5316
C1Mg1Sc3,C1Mg1Sc3,"{""C"": 1, ""Mg"": 1, ""Sc"": 3}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""C"", ""precursor"": ""C"", ""name"": ""graphite powder"", ""mass_g"": 14.0, ""safety"": ""SAFE"", ""supplier"": ""hardware store""}, {""element"": ""Mg"", ""precursor"": ""Mg"", ""name"": ""magnesium powder"", ""mass_g"": 28.4, ""safety"": ""MODERATE"", ""supplier"": ""flammable dust""}, {""element"": ""Sc"", ""precursor"": ""Sc"", ""name"": ""scandium metal"", ""mass_g"": 157.6, ""safety"": ""DANGEROUS"", ""supplier"": ""extremely expensive""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.23,MEDIUM,"3 elements, 1 rare; template applicable",[],Mg: MODERATE — flammable dust; Sc: DANGEROUS — extremely expensive,800,cubic,Pm-3m,0.0102
Nd2O20Pr6Ti4,Nd2O20Pr6Ti4,"{""Nd"": 2, ""O"": 20, ""Pr"": 6, ""Ti"": 4}",rare_earth_oxide,rare-earth-containing oxide ceramic,,,,100,300,rare-earth cost; keep batches small,"[{""element"": ""Nd"", ""precursor"": ""Nd2O3"", ""name"": ""neodymium oxide"", ""mass_g"": 20.4, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""Pr"", ""precursor"": ""Pr6O11"", ""name"": ""praseodymium oxide"", ""mass_g"": 62.1, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""Ti"", ""precursor"": ""TiO2"", ""name"": ""titanium dioxide (rutile)"", ""mass_g"": 19.4, ""safety"": ""SAFE"", ""supplier"": ""Kremer, Carl Roth""}]","{""calcine_c"": 900, ""calcine_h"": 2, ""sinter_c"": 1200, ""sinter_range_c"": [1100, 1300], ""sinter_h"": 4, ""ramp"": ""3°C/min""}",29.21,MEDIUM,"4 elements, 2 rare; template applicable",[],Nd2O3: MODERATE — Sigma-Aldrich; Pr6O11: MODERATE — Sigma-Aldrich,1200,monoclinic,P2_1/m,
Cs12S14Sb4Se2,Cs12S14Sb4Se2,"{""Cs"": 12, ""S"": 14, ""Sb"": 4, ""Se"": 2}",sulfide_other,general sulfide,,,,200,500,conservative default for unknown family,"[{""element"": ""Cs"", ""precursor"": ""Cs2CO3"", ""name"": ""cesium carbonate"", ""mass_g"": 145.4, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE""}, {""element"": ""Sb"", ""precursor"": ""Sb2O3"", ""name"": ""antimony trioxide"", ""mass_g"": 43.4, ""safety"": ""MODERATE"", ""supplier"": ""Kremer""}, {""element"": ""Se"", ""precursor"": ""Se"", ""name"": ""selenium (elemental)"", ""mass_g"": 11.7, ""safety"": ""MODERATE"", ""supplier"": ""toxic, ventilation""}, {""element"": ""S"", ""precursor"": ""S"", ""name"": ""elemental sulfur"", ""mass_g"": 33.4, ""safety"": ""MODERATE"", ""supplier"": ""garden supply (Schwefelblüte) ~€5/kg""}]","{""peak_c"": null, ""why"": ""no template""}",583.65,MEDIUM,"4 elements, 1 rare; template applicable",no precursor data for element S,"Cs2CO3: DANGEROUS — EXPENSIVE; Sb2O3: MODERATE — Kremer; Se: MODERATE — toxic, ventilation; S: MODERATE — garden supply (Schwefelblüte) ~€5/kg",600,monoclinic,P2_1,1.9963
C2Er1P2Ru4Y1,C2Er1P2Ru4Y1,"{""C"": 2, ""Er"": 1, ""P"": 2, ""Ru"": 4, ""Y"": 1}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""C"", ""precursor"": ""C"", ""name"": ""graphite powder"", ""mass_g"": 6.5, ""safety"": ""SAFE"", ""supplier"": ""hardware store""}, {""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 45.1, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""P"", ""precursor"": ""Fe3P"", ""name"": ""ferrophosphorus (liquid-phase sintering aid)"", ""mass_g"": 107.0, ""safety"": ""SAFE"", ""supplier"": ""never use elemental P — flammable""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 24.0, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",4.56,MEDIUM,"5 elements, 1 rare; template applicable",no precursor data for element Ru,Er: MODERATE — Sigma; expensive; Y: MODERATE — ,150,orthorhombic,Amm2,0.016
La2Mo2Nd2O20Se4,La2Mo2Nd2O20Se4,"{""La"": 2, ""Mo"": 2, ""Nd"": 2, ""O"": 20, ""Se"": 4}",rare_earth_oxide,rare-earth-containing oxide ceramic,,,,100,300,rare-earth cost; keep batches small,"[{""element"": ""La"", ""precursor"": ""La2O3"", ""name"": ""lanthanum oxide"", ""mass_g"": 23.4, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""Mo"", ""precursor"": ""MoO3"", ""name"": ""molybdenum trioxide"", ""mass_g"": 20.7, ""safety"": ""MODERATE"", ""supplier"": ""sublimes at 700°C, must use saggar""}, {""element"": ""Nd"", ""precursor"": ""Nd2O3"", ""name"": ""neodymium oxide"", ""mass_g"": 24.1, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich""}, {""element"": ""Se"", ""precursor"": ""Se"", ""name"": ""selenium (elemental)"", ""mass_g"": 22.7, ""safety"": ""MODERATE"", ""supplier"": ""toxic, ventilation""}]","{""calcine_c"": 900, ""calcine_h"": 2, ""sinter_c"": 1200, ""sinter_range_c"": [1100, 1300], ""sinter_h"": 4, ""ramp"": ""3°C/min""}",10.23,MEDIUM,"5 elements, 1 rare; template applicable",[],"La2O3: MODERATE — Sigma-Aldrich; MoO3: MODERATE — sublimes at 700°C, must use saggar; Nd2O3: MODERATE — Sigma-Aldrich; Se: MODERATE — toxic, ventilation",800,triclinic,P1,3.323
Ba4Ga4Ge1O14Si1,Ba4Ga4Ge1O14Si1,"{""Ba"": 4, ""Ga"": 4, ""Ge"": 1, ""O"": 14, ""Si"": 1}",unknown,no matching family,,,,200,500,conservative default for unknown family,"[{""element"": ""Ba"", ""precursor"": ""BaCO3"", ""name"": ""barium carbonate"", ""mass_g"": 136.9, ""safety"": ""DANGEROUS"", ""supplier"": ""laborladen €4.90/500g; TOXIC, N95 required""}, {""element"": ""Ga"", ""precursor"": ""Ga2O3"", ""name"": ""gallium oxide"", ""mass_g"": 65.0, ""safety"": ""DANGEROUS"", ""supplier"": ""COST EXTREME, China export controlled; substitute with TiO2+ZrO2 as nucleant""}, {""element"": ""Ge"", ""precursor"": ""GeO2"", ""name"": ""germanium dioxide"", ""mass_g"": 18.2, ""safety"": ""DANGEROUS"", ""supplier"": ""EXPENSIVE""}, {""element"": ""Si"", ""precursor"": ""SiO2"", ""name"": ""quartz flour / silica"", ""mass_g"": 10.4, ""safety"": ""SAFE"", ""supplier"": ""hardware store (Quarzmehl)""}]","{""peak_c"": null, ""why"": ""no template""}",140.5,LOW,no family matched,[],"BaCO3: DANGEROUS — laborladen €4.90/500g; TOXIC, N95 required; Ga2O3: DANGEROUS — COST EXTREME, China export controlled; substitute with TiO2+ZrO2 as nucleant; GeO2: DANGEROUS — EXPENSIVE",1200,triclinic,P1,2.968
P1Pb6S1Y10,P1Pb6S1Y10,"{""P"": 1, ""Pb"": 6, ""S"": 1, ""Y"": 10}",sulfide_thiophosphate_excluded,"thiophosphate: sealed-ampoule chemistry, not workshop-achievable",,,,200,500,conservative default for unknown family,"[{""element"": ""P"", ""precursor"": ""Ca3(PO4)2"", ""name"": ""tricalcium phosphate"", ""mass_g"": 14.1, ""safety"": ""SAFE"", ""supplier"": ""NEVER use P2O5 raw — violent water reaction""}, {""element"": ""Pb"", ""precursor"": ""PbO"", ""name"": ""lead(II) oxide (litharge)"", ""mass_g"": 122.0, ""safety"": ""DANGEROUS"", ""supplier"": ""toxic; use only in enclosed glaze studio; NOT for food surfaces""}, {""element"": ""Y"", ""precursor"": ""Y2O3"", ""name"": ""yttrium oxide"", ""mass_g"": 102.9, ""safety"": ""MODERATE"", ""supplier"": ""Sigma-Aldrich ~€10-30/kg""}]","{""peak_c"": null, ""why"": ""no template""}",9.61,EXCLUDED,sulfide_thiophosphate_excluded,no precursor data for element S,PbO: DANGEROUS — toxic; use only in enclosed glaze studio; NOT for food surfaces; Y2O3: MODERATE — Sigma-Aldrich ~€10-30/kg,800,trigonal,P-31m,0.0196
Mo12P1Sc8Si15,Mo12P1Sc8Si15,,excluded_refractory,"tungsten/molybdenum dominant, beyond workshop",,,,,,,,,,EXCLUDED,,,,,,,
Nd20Sn14Te2,Nd20Sn14Te2,"{""Nd"": 20, ""Sn"": 14, ""Te"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Nd"", ""precursor"": ""Nd"", ""name"": ""neodymium metal"", ""mass_g"": 120.2, ""safety"": ""MODERATE"", ""supplier"": ""expensive""}, {""element"": ""Sn"", ""precursor"": ""Sn"", ""name"": ""tin ingot"", ""mass_g"": 69.2, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.09,MEDIUM,"3 elements, 1 rare; template applicable",no precursor data for element Te,Nd: MODERATE — expensive,1000,monoclinic,P2_1,inf
Er4Mn1Ni13,Er4Mn1Ni13,"{""Er"": 4, ""Mn"": 1, ""Ni"": 13}",metal_pm_only,"Fe/Ni/Co-dominant, needs PM sintering (mp > kiln)",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""Er"", ""precursor"": ""Er"", ""name"": ""erbium metal"", ""mass_g"": 90.0, ""safety"": ""MODERATE"", ""supplier"": ""Sigma; expensive""}, {""element"": ""Mn"", ""precursor"": ""Mn"", ""name"": ""manganese flakes"", ""mass_g"": 7.4, ""safety"": ""MODERATE"", ""supplier"": ""neurotoxic dust, N95""}, {""element"": ""Ni"", ""precursor"": ""Ni"", ""name"": ""nickel shot/powder"", ""mass_g"": 102.6, ""safety"": ""DANGEROUS"", ""supplier"": ""IARC Group 1, N95""}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",9.78,MEDIUM,"3 elements, 1 rare; template applicable",[],"Er: MODERATE — Sigma; expensive; Mn: MODERATE — neurotoxic dust, N95; Ni: DANGEROUS — IARC Group 1, N95",1100,monoclinic,C2/m,0.0002
La8Sn6Y2,La8Sn6Y2,"{""La"": 8, ""Sn"": 6, ""Y"": 2}",metal_pm_only,"metallic composition, PM approach",,,UNKNOWN,200,500,die press size; larger compacts crack,"[{""element"": ""La"", ""precursor"": ""La"", ""name"": ""lanthanum metal"", ""mass_g"": 111.1, ""safety"": ""MODERATE"", ""supplier"": """"}, {""element"": ""Sn"", ""precursor"": ""Sn"", ""name"": ""tin ingot"", ""mass_g"": 71.2, ""safety"": ""SAFE"", ""supplier"": ""metal supplier""}, {""element"": ""Y"", ""precursor"": ""Y"", ""name"": ""yttrium metal"", ""mass_g"": 17.8, ""safety"": ""MODERATE"", ""supplier"": """"}]","{""binder_burnout_c"": 600, ""binder_burnout_h"": 1, ""sinter_c"": 1100, ""sinter_range_c"": [1050, 1200], ""sinter_h"": 1, ""atmosphere"": ""reducing (graphite in saggar)"", ""why"": ""powder metallurgy with Fe3P liquid-phase aid""}",8.58,MEDIUM,standard template applied,[],La: MODERATE — ; Y: MODERATE — ,1000,tetragonal,I4/mcm,0.0009
